time, x, y, z
0.00000, 0.01562, 0.26562, 0.92188 
0.20000, 0.00781, 0.27344, 0.93750 
0.40000, 0.03906, 0.25000, 0.98438 
0.60000, -0.02344, 0.27344, 1.06250 
0.80000, 0.00000, 0.34375, 0.92188 
1.00000, 0.02344, 0.25000, 0.89844 
1.20000, 0.00000, 0.28125, 0.96094 
1.40000, 0.03125, 0.25000, 0.99219 
1.60000, -0.03125, 0.30469, 0.93750 
1.80000, 0.04688, 0.26562, 0.96094 
2.00000, -0.02344, 0.30469, 0.96094 
2.20000, 0.00000, 0.30469, 0.94531 
2.40000, 0.07812, 0.28125, 0.94531 
2.60000, 0.01562, 0.25000, 0.94531 
2.80000, 0.02344, 0.27344, 1.03125 
3.00000, 0.03125, 0.27344, 0.87500 
3.20000, 0.00000, 0.28906, 1.00000 
3.40000, 0.00000, 0.35156, 0.93750 
3.60000, 0.00000, 0.25000, 0.90625 
3.80000, 0.00000, 0.28125, 0.97656 
4.00000, 0.03906, 0.26562, 0.84375 
4.20000, -0.03125, 0.31250, 0.96094 
4.40000, 0.00000, 0.30469, 0.96875 
4.60000, 0.00781, 0.37500, 0.93750 
4.80000, 0.00000, 0.28906, 1.00000 
5.00000, 0.00000, 0.27344, 0.86719 
5.20000, -0.03906, 0.33594, 0.96875 
5.40000, 0.03125, 0.28906, 0.82812 
5.60000, 0.03125, 0.31250, 0.94531 
5.80000, -0.03906, 0.32031, 0.90625 
6.00000, 0.00781, 0.27344, 0.85938 
6.20000, 0.00781, 0.27344, 0.98438 
6.40000, 0.02344, 0.28125, 0.94531 
6.60000, 0.00000, 0.32031, 0.99219 
6.80000, 0.00000, 0.28125, 0.84375 
7.00000, 0.03125, 0.33594, 0.99219 
7.20000, 0.03125, 0.25781, 0.92188 
7.40000, 0.02344, 0.26562, 0.86719 
7.60000, 0.00781, 0.29688, 1.01562 
7.80000, 0.06250, 0.28125, 0.96094 
8.00000, 0.02344, 0.19531, 0.94531 
8.20000, -0.02344, 0.28125, 0.83594 
8.40000, 0.03906, 0.28125, 0.96094 
8.60000, 0.00000, 0.31250, 0.96875 
8.80000, 0.06250, 0.32812, 0.95312 
9.00000, 0.00000, 0.28125, 0.99219 
9.20000, 0.02344, 0.24219, 0.96875 
9.40000, 0.01562, 0.30469, 0.92969 
9.60000, -0.01562, 0.28906, 0.96094 
9.80000, 0.01562, 0.30469, 1.00000 
